Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Afonso Domingos,Portugal,43,174,91,M,7/29/1969,7,MOZAMBIQUE (MOZ),0,0,0,0,Sailing,Men's Star
Jur Vrieling,Netherlands,43,189,80,M,7/31/1969,7,Slochteren (NED),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, BUBALU"
Jannicke Stalstrom,Norway,42,,,F,9/7/1969,9,HORTEN (NOR),0,0,0,0,Sailing,Women's RS-X
Emanuele Guidi,San Marino,42,175,80,M,9/16/1969,9,San Marino,0,0,0,0,Archery,Men's Individual
Jessica Crisp,Australia,42,167,55,F,9/19/1969,9,Sydney (AUS),0,0,0,0,Sailing,Women's RS-X
Jesus Angel Garcia,Spain,42,172,64,M,10/17/1969,10,Madrid (ESP),0,0,0,0,Athletics,Men's 50km Race Walk
Natalia Valeeva,Italy,42,168,63,F,11/15/1969,11,TIRNAUCA,0,0,0,0,Archery,"Women's Individual, Women's Team"
Jean-Michel Saive,Belgium,42,181,80,M,11/17/1969,11,Liege (BEL),0,0,0,0,Table Tennis,Men's Singles
Fredrik Loof,Sweden,42,190,87,M,12/13/1969,12,KRISTINEHAMN (SWE),0,0,0,0,Sailing,Men's Star
Mikaela Lindh,Finland,42,164,54,F,12/17/1969,12,ABO (FIN),0,0,0,0,Equestrian,"Individual Dressage, MAS GUAPO"
Meredith Michaels-Beerbaum,Germany,42,162,50,F,12/26/1969,12,Los Angeles (USA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, BELLA DONNA"
Giovanni Pellielo,Italy,42,173,93,M,1/11/1970,1,VERCELLI (ITA),0,0,0,0,Shooting,Men's Trap
Constantina Dita,Romania,42,160,48,F,1/23/1970,1,Turburea (ROU),0,0,0,0,Athletics,Women's Marathon
Alessandra Sensini,Italy,42,167,58,F,1/26/1970,1,GROSSETO (ITA),0,0,0,0,Sailing,Women's RS-X
Sergei Kovalenko,Russian Federation,42,172,70,M,2/5/1970,2,VOLYNSK (),0,0,0,0,Shooting,Men's 50m Rifle Prone
Kamal Bahamdan,Saudi Arabia,42,,,M,2/12/1970,2,Riyadh (KSA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, DELPHI"
Roger Daniel,Trinidad and Tobago,42,196,106,M,2/22/1970,2,Port of Spain (TRI),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Vladimir Isakov,Russian Federation,42,180,78,M,2/28/1970,2,Moscow Region (RUS),0,0,0,0,Shooting,Men's 50m Pistol
Edward Gal,Netherlands,42,185,70,M,3/4/1970,3,RHEDEN (NED),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, UNDERCOVER"
Tyler Bjorn,Canada,42,189,104,M,3/13/1970,3,Montreal (CAN),0,0,0,0,Sailing,Men's Star
Diederik Simon,Netherlands,42,190,90,M,4/10/1970,4,,0,0,0,0,Rowing,Men's Eight
Artem Khadjibekov,Russian Federation,42,172,72,M,4/20/1970,4,KALUGA REGION (RUS),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Nemanja Mirosavljev,Serbia,42,185,70,M,5/10/1970,5,Novi Sad (SRB),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Maik Eckhardt,Germany,42,186,90,M,6/4/1970,6,BERLEBURG (GER),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Tore Brovold,Norway,42,,,M,6/12/1970,6,Hamar (NOR),0,0,0,0,Shooting,Men's Skeet
Yury Dauhapolau,Belarus,42,170,83,M,6/20/1970,6,VOSKRESENOVKA (RUS),0,0,0,0,Shooting,Men's 10m Air Pistol
Savva Lika,Greece,42,168,73,F,6/27/1970,6,KORITSA (ALB),0,0,0,0,Athletics,Women's Javelin Throw
Claudia Fassaert,Belgium,42,167,64,F,7/11/1970,7,HONTENISSE (NED),0,0,0,0,Equestrian,"Individual Dressage, DONNERFEE"
Andreas Scherhaufer,Austria,42,197,99,M,7/24/1970,7,Wien (AUT),0,0,0,0,Shooting,Men's Trap
Maung Kyu,Myanmar,41,165,60,M,8/11/1970,8,MYAUNGMYA (MYA),0,0,0,0,Shooting,Men's 10m Air Pistol
Sergio Sanchez,Guatemala,41,170,68,M,8/22/1970,8,GUATEMALA CITY (GUA),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Kristina Cook,Great Britain,41,175,71,F,8/31/1970,8,RUSTINGTON (GBR),0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, MINERS FROLIC"
Olga Dovgun,Kazakhstan,41,165,56,F,9/1/1970,9,Almaty (KAZ),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Luciana Diniz,Portugal,41,176,54,F,10/11/1970,10,Sao Paulo (BRA),0,0,0,0,Equestrian,"Individual Jumping, LENNOX"
Maureen Tuimalealiifano,Samoa,41,175,70,F,10/17/1970,10,LOTOSOA SALEIMOA,0,0,0,0,Archery,Women's Individual
Satu Makela-Nummela,Finland,41,169,63,F,10/26/1970,10,ORIMATTILA (FIN),0,0,0,0,Shooting,Women's Trap
Derek Burnett,Ireland,41,178,88,M,10/27/1970,10,Westmeath (IRL),0,0,0,0,Shooting,Men's Trap
Norayr Bakhtamyan,Armenia,41,178,90,M,11/1/1970,11,Yerevan (ARM),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Tina Gramkov,Denmark,41,171,65,F,11/12/1970,11,VIRUM (DEN),0,0,0,0,Sailing,Women's Elliott 6m
Akemi Kato,Japan,41,161,58,F,12/13/1970,12,CHICHIBU (JPN),0,0,0,0,Hockey,Women's Hockey
Nasser Al-Attiya,Qatar,41,178,70,M,12/21/1970,12,Qatar (QAT),0,0,1,1,Shooting,Men's Skeet
Marc Houtzager,Netherlands,41,190,87,M,1/9/1971,1,HOOGEVEEN (NED),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, TAMINO"
Yingzi Liu,People's Republic of China,41,165,64,F,1/27/1971,1,HUNAN (CHN),0,0,0,0,Shooting,Women's Trap
Sonja Pfeilschifter,Germany,41,156,54,F,1/29/1971,1,Cham (GER),0,0,0,0,Shooting,Women's 50m Rifle 3 Positions
Sigrid Rondelez,Belgium,41,172,62,F,3/17/1971,3,Brugge (BEL),0,0,0,0,Sailing,Women's RS-X
Patrick van der Meer,Netherlands,41,187,79,M,3/23/1971,3,WATERINGEN (NED),0,0,0,0,Equestrian,"Individual Dressage, UZZO"
Sandra Uptagrafft,United States of America,41,155,53,F,4/12/1971,4,Singapore (SIN),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Hamish Pepper,New Zealand,41,176,90,M,5/13/1971,5,CASTOR BAY (NZL),0,0,0,0,Sailing,Men's Star
Karin Donckers,Belgium,41,168,57,F,5/28/1971,5,HOOGSTRATEN (BEL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, GAZELLE DE LA BRASSERIE"
Belinda Stowell,Australia,41,172,68,F,5/28/1971,5,Harare (ZIM),0,0,0,0,Sailing,Women's 470
Samantha Albert,Jamaica,41,165,64,F,5/31/1971,5,Montreal (CAN),0,0,0,0,Equestrian,"Individual Eventing, CARRAIG DUBH"
Stephane Clamens,France,41,172,78,M,6/5/1971,6,Menton (FRA),0,0,0,0,Shooting,Men's Trap
Renate Voglsang,Austria,41,178,71,F,6/10/1971,6,Munchen (GER),0,0,0,0,Equestrian,"Individual Dressage, FABRIANO"
Marek Kolbowicz,Poland,41,195,91,M,6/11/1971,6,,0,0,0,0,Rowing,Men's Quadruple Sculls
Adam Vella,Australia,41,178,91,M,6/12/1971,6,Melbourne (AUS),0,0,0,0,Shooting,Men's Trap
Berta Rodriguez,Chile,41,155,53,F,6/24/1971,6,Santiago,0,0,0,0,Table Tennis,Women's Singles
Ivan Perez Vargas,Spain,41,197,109,M,6/29/1971,6,HABANA (CUB),0,0,0,0,Water Polo,Men's Water Polo
Jason Haldane,Great Britain,41,203,106,M,7/23/1971,7,TERRACE (GBR),0,0,0,0,Volleyball,Men's Volleyball
Jillian Terceira,Bermuda,41,163,58,F,7/23/1971,7,Paget (BER),0,0,0,0,Equestrian,"Individual Jumping, BERNADIEN VAN WESTUUR"
Bruno Prada,Brazil,41,186,110,M,7/31/1971,7,Sao Paulo (BRA),0,0,0,0,Sailing,Men's Star
Valeriy Shomin,Russian Federation,41,170,73,M,7/31/1971,7,Moscow (RUS),0,0,0,0,Shooting,Men's Skeet
Majed Al-Tamimi,Saudi Arabia,40,,,M,8/21/1971,8,SAUDI ARABIA (KSA),0,0,0,0,Shooting,Men's Skeet
Svetlana Kiseliova,Ukraine,40,175,65,F,8/25/1971,8,MYKOLAIV (UKR),0,0,0,0,Equestrian,"Individual Dressage, PARISH"
